date_without_time,total_cases,new_cases,new_deaths
2020/9/1,326264,5104,27
2020/9/2,333351,7087,26
2020/9/3,340473,7122,17
2020/9/4,349333,8860,-20
2020/9/5,357927,8594,12
2020/9/6,364943,7016,4
2020/9/7,369209,4266,23
2020/9/8,375947,6738,38
2020/9/9,384546,8599,32
2020/9/10,394308,9762,19
2020/9/11,403837,9529,82
2020/9/12,415174,11337,18
2020/9/13,421519,6345,5
2020/9/14,427839,6320,34
2020/9/15,435665,7826,50
2020/9/16,445932,10267,48
2020/9/17,456171,10239,47
2020/9/18,469404,13233,154
2020/9/19,482964,13560,25
2020/9/20,493500,10536,11
2020/9/21,499039,5539,53
2020/9/22,509123,10084,79
2020/9/23,522355,13232,46
2020/9/24,538264,15909,48
2020/9/25,554368,16104,151
2020/9/26,568588,14220,39
2020/9/27,579223,10635,27
2020/9/28,583522,4299,84
2020/9/29,591527,8005,73
2020/9/30,605893,14366,80
2020/10/1,618918,13025,57
2020/10/2,631354,12436,136
2020/10/3,647868,16514,25
2020/10/4,660372,12504,32
2020/10/5,666011,5639,71
2020/10/6,677321,11310,87
2020/10/7,696274,18953,80
2020/10/8,713676,17402,73
2020/10/9,734707,21031,110
2020/10/10,761384,26677,35
2020/10/11,777378,15994,46
2020/10/12,786590,9212,97
2020/10/13,800216,13626,128
2020/10/14,823181,22965,106
2020/10/15,852938,29757,85
2020/10/16,878572,25634,179
2020/10/17,910711,32139,73
2020/10/18,940548,29837,85
2020/10/19,954838,14290,148
2020/10/20,975214,20376,281
2020/10/21,1002624,27410,168
2020/10/22,1043437,40813,154
2020/10/23,1086286,42849,300
2020/10/24,1131551,45265,136
2020/10/25,1138167,6616,-21
2020/10/26,1211177,73010,389
2020/10/27,1245635,34458,528
2020/10/28,1283185,37550,259
2020/10/29,1329821,46636,233
2020/10/30,1379295,49474,547
2020/10/31,1414396,35101,222
2020/11/1,1460575,46179,231
2020/11/2,1566666,106091,428
2020/11/3,1639267,72601,1279
2020/11/4,1593146,-46121,-34
2020/11/5,1650966,57820,357
2020/11/6,1711918,60952,829
2020/11/7,1798573,86655,303
2020/11/8,1837135,38562,270
2020/11/9,1858559,21424,560
2020/11/10,1881172,22613,1231
2020/11/11,1917578,36406,328
2020/11/12,1950136,32558,415
2020/11/13,1974271,24135,933
2020/11/14,2006228,31957,353
2020/11/15,2033420,27192,303
2020/11/16,2043470,10050,511
2020/11/17,2089073,45603,1226
2020/11/18,2117917,28844,431
2020/11/19,2138706,20789,417
2020/11/20,2161970,23264,1141
2020/11/21,2179640,17670,252
2020/11/22,2192770,13130,214
2020/11/23,2197832,5062,506
2020/11/24,2207753,9921,1011
2020/11/25,2224508,16755,388
2020/11/26,2237509,13001,331
2020/11/27,2250283,12774,959
2020/11/28,2262760,12477,212
2020/11/29,2272523,9763,198
2020/11/30,2276830,4307,408
2020/12/1,2285273,8443,777
2020/12/2,2299501,14228,311
2020/12/3,2312288,12787,324
2020/12/4,2323799,11511,630
2020/12/5,2336681,12882,212
2020/12/6,2347630,10949,174
2020/12/7,2351041,3411,366
2020/12/8,2365085,14044,838
2020/12/9,2379760,14675,297
